ID,Delivery_person_Age,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,Time_taken(min)
4607,37,4.9,Snack ,motorcycle ,24
B379,34,4.5,Snack ,scooter ,33
5D6D,23,4.4,Drinks ,motorcycle ,26
7A6A,38,4.7,Buffet ,motorcycle ,21
70A2,32,4.6,Snack ,scooter ,30
9BB4,22,4.8,Buffet ,motorcycle ,26
95B4,33,4.7,Meal ,scooter ,40
9EB2,35,4.6,Meal ,motorcycle ,32
1102,22,4.8,Buffet ,motorcycle ,34
CDCD,36,4.2,Snack ,motorcycle ,46
D987,21,4.7,Meal ,motorcycle ,23
2784,23,4.7,Drinks ,scooter ,21
C8B6,34,4.3,Buffet ,motorcycle ,20
DB64,24,4.7,Snack ,scooter ,41
3AF3,29,4.5,Buffet ,electric_scooter ,20
3AAB,35,4.0,Meal ,scooter ,33
689B,33,4.2,Snack ,motorcycle ,40
6F67,34,4.9,Snack ,motorcycle ,41
C9CF,21,4.7,Meal ,motorcycle ,15
36B8,25,4.1,Snack ,motorcycle ,36
5795,31,4.7,Meal ,electric_scooter ,26
6C6B,37,5.0,Snack ,motorcycle ,20
B816,33,4.3,Meal ,scooter ,39
539B,25,4.0,Buffet ,motorcycle ,34
A1B2,29,4.5,Meal ,electric_scooter ,15
3231,27,5.0,Snack ,motorcycle ,18
8BC0,35,4.3,Drinks ,scooter ,38
2288,32,4.0,Buffet ,motorcycle ,47
3C5E,23,4.8,Buffet ,electric_scooter ,12
3E+60,31,4.8,Drinks ,motorcycle ,26
BFF,36,4.1,Drinks ,motorcycle ,22
D936,26,4.3,Buffet ,motorcycle ,21
D681,38,4.9,Drinks ,scooter ,25
2876,32,3.5,Snack ,scooter ,35
30C8,32,4.6,Drinks ,scooter ,30
B843,33,4.9,Snack ,motorcycle ,22
B3A0,20,4.7,Snack ,scooter ,10
6531,20,4.8,Meal ,scooter ,19
4BDA,35,5.0,Snack ,scooter ,11
9D26,26,4.9,Buffet ,scooter ,11
9B18,22,4.8,Snack ,motorcycle ,28
